DATE,TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,VOL,SPREAD
2022.10.17,4:00:00,1.12238,1.12416,1.12157,1.12254,33118,0,0
2022.10.17,8:00:00,1.12256,1.13054,1.12235,1.12666,64371,0,0
2022.10.17,12:00:00,1.12671,1.13521,1.12555,1.13383,49864,0,0
2022.10.17,16:00:00,1.13382,1.144,1.13343,1.13901,65446,0,0
2022.10.17,20:00:00,1.13901,1.14032,1.13431,1.13581,23526,0,0
2022.10.18,0:00:00,1.13559,1.13692,1.13455,1.13527,27453,0,8
2022.10.18,4:00:00,1.13526,1.14102,1.13308,1.13892,36926,0,1
2022.10.18,8:00:00,1.13893,1.14024,1.12867,1.12939,63861,0,0
2022.10.18,12:00:00,1.12939,1.13465,1.12555,1.13273,64247,0,0
2022.10.18,16:00:00,1.13271,1.13387,1.12801,1.13131,70615,0,0
2022.10.18,20:00:00,1.13129,1.13345,1.12792,1.13217,32259,0,0
2022.10.19,0:00:00,1.1313,1.13584,1.13096,1.13406,22484,0,3
2022.10.19,4:00:00,1.13404,1.13507,1.13175,1.13258,44232,0,1
2022.10.19,8:00:00,1.13254,1.13304,1.12456,1.12619,61850,0,0
2022.10.19,12:00:00,1.12622,1.12863,1.12214,1.12459,59042,0,0
2022.10.19,16:00:00,1.12462,1.12784,1.11886,1.11932,53342,0,0
2022.10.19,20:00:00,1.11934,1.12267,1.11846,1.12166,27833,0,0
2022.10.20,0:00:00,1.12156,1.12284,1.1197,1.12086,23060,0,0
2022.10.20,4:00:00,1.12084,1.12416,1.11906,1.12211,44386,0,1
2022.10.20,8:00:00,1.12211,1.12403,1.11799,1.11846,64462,0,0
2022.10.20,12:00:00,1.11849,1.13077,1.11714,1.12551,72027,0,0
2022.10.20,16:00:00,1.12554,1.13367,1.12425,1.12552,76190,0,0
2022.10.20,20:00:00,1.12552,1.12556,1.12024,1.1235,39358,0,0
2022.10.21,0:00:00,1.12324,1.1238,1.1198,1.12063,18784,0,0
2022.10.21,4:00:00,1.12064,1.12189,1.119,1.11962,40839,0,1
2022.10.21,8:00:00,1.11962,1.12227,1.1123,1.11307,61233,0,0
